name,review
Mastermind - AI Assistant for Software Dev Teams,Helps me complete tasks and remain hands free to do other things in my very busy life through the help of Alexa.
Yahoo Finance Market Minute,"Not sure if this is a Yahoo problem or an Alexa issue, but it has played the same report repeatedly for the last week. It goes on and on until I tell Alexa to skip it."
Big Bear Flash Briefing,
Mastermind - AI Assistant for Software Dev Teams,"So far, so good. Can't find any fault in it's application or functionality!"
Hosting Status,
Five Star Business,
Geek Brief,
Honidu's Caring Foundation & Empowerment Programs,"Honidu’s Caring Foundation has help me to reach my potential as a professional. With excellent guidance and resources, I am certain that her foundation can help propel anyone to success."
Motley Fool Stock Watch,My go to source for investing content!!
Coin Kitty,Useful and accurate!  A game changer!
Mastermind - AI Assistant for Software Dev Teams,Great
Capital One,Easy to use and good for monthly payments.
Mastermind - AI Assistant for Software Dev Teams,Well that was very cool... Alexa can make calls and send texts via your cell phone! Interesting to see how well this works after beta and how much I need or want this convenience.
DC Government Status,Very convenient to use than a mobile app.
Mastermind - AI Assistant for Software Dev Teams,Works perfectly
Settle Up,Easy to check who should pay on your Echo.
My Feedback,"Fun, easy way to give feedback quickly and on the fly. No issues with the skill! A more private way than airing it all out on Twitter :)"
Bitcoin Facts,love this app. Love bitcoin
StockTicker,"The skill was able to get 3 out of 6 on the first try, and announces the percentage gained or lost for the trading day.  If the vocal recognition improves and the read can be switched to actual dollars gained or lost, this would be a great skill!  As for now I'll keep it active and check in from time to time."
The Pitch with Amy Summers,"The Pitch is a great and informative tool that every communicator should have access to. It only takes a few minutes to keep up, and I’ve learned so much already. I would recommend it to anyone looking to step up their game in the workforce!"
NPR Business Story of the Day,good
Prudential Retirement,The link with  alexa is garbage!!!!!!!
My Mediator,"Well done, Great skill. I've been looking for this! :)"
Capital One,And isnt that all that is necessary?  It works well.
Real Estate,Great app that makes searching for homes so easy!
Crypto Check,Very straightforward and useful skill for a quick overview of the ever changing crypto currency market and the current value of the leading coins.
The Motley Fool,"It won't give me details on the stocks on my watch without having to ask for each one individually, and most of the time it doesn't even understand which stock I want. So much effort is wasted."
CNBC,Asked over and over for stock price and it cannot recognize the name of a company to give you the price
30-Second Blog and Business Tip w/ Pete McPherson,"This podcast may only be 30 seconds long, but whatever brillance (ie tips, tactics and solutions) Pete brings to the table that day will leave you thinking about it all day long and how you can apply it to build and expand your online business."
Bullion Today,Gr8 if you are into silver or gold
Coin Market - Crypto Pricing,Ah.mazing.
Mastermind - AI Assistant for Software Dev Teams,"Every time I ask Mastermind to do something ,it wants me to accept the permission even if I've already;: done so previously pretty annoying"
Amex,I always get an error after logging in to link the app.
Mastermind - AI Assistant for Software Dev Teams,Ok
The Perfect Gentleman,Thanks Michael F! I take utmost pride in being a distinguished gentleman and look forward to your reminders daily!
Master Class,master class has everything you need to succeed in Business and life with many free courses amd marketing software give aways .  the software is on of a kind by Circle.vegas and all social media training tools from social media marketing in las vegas socialmediamarketing.vegas and Master class has and paid resources at MasterClass.vegas
Mastermind - AI Assistant for Software Dev Teams,"Would like it to read watts app messaging as I receive more of these than texts. Also i would like to be able to make calls through alexa totally hands free it will call from my phone but wont come through the alexa speaker. Pretty pointless without this feature, you may as well pick up your phone."
Mastermind - AI Assistant for Software Dev Teams,Anything
Clarified Realty Podcast Real Estate News Daily,I like the relevant news stories and helpful real estate tips. Been a subscriber to their podcast for several months now - keep it up!
FT News Briefing,
Mastermind - AI Assistant for Software Dev Teams,Great product
Insurance Advisor,"A great company.  Easy to do business with and low pricing.  As an insurance adjuster of 34 years,  I can say with confidence that the claims experience is also handled with excellence."
Mastermind - AI Assistant for Software Dev Teams,Permissions are difficult to process and achieve function for mastermind app
Bolivar Today,
Mastermind - AI Assistant for Software Dev Teams,"Finally, an assistant's assistant which allows Alexa, via Echo Dot, to open and play you tube. Amazing!!"
The Pitch with Amy Summers,Good for people who don't have much life experience. Basic.
Motley Fool Stock Watch,"It does not understand most stocks I ask for.  Hershey company comes up as Hersha Hospitality,  Tellurian never works,  and several others."
Fast Marketing Minute,This information was spot on and very useful for my current marketing programs
Dave Sanderson: Declassified,totally scripted. sounds disingenuous. too religious in the annoying way
Store Card,"Great to be able to hear your balance and due dates.
Loved the luxury of paying my credit card through Alexa. No more hunting for site link, username and password."
tiyBot,"Truly revolutionary, just a few weeks ago I was left wondering ""Who is speaking this week at The Iron Yard?"" Now with the help of Alexa I have an answer. 5 stars."
TD Ameritrade,"Does exactly what it's supposed to. Would love to see some portfolio specific insights in the future, but I like that I can get real time info on my echo for now"
Mastermind - AI Assistant for Software Dev Teams,It's the only app I use
customer loyalty,I really enjoy this flash briefing to get my gears turning about different ways I can increase loyalty to my business and brand. I listen to this in the mornings to get my day started. Would definitely recommend!
The Pitch with Amy Summers,"In the face of maddening noise and mountains of email, how does one successfully make progress?  The Pitch is a gateway to successful communication of your objective.  Every pitch offers a quick AHA! in less time than it takes to brush your teeth."
Sowing Seed Flash Briefing,Matt is a library of knowledge on this topic and shares his experiences generously.  If you are interested in this area Matt's podcast will be a tremendous resource to help you succeed!  M.Miller is a 5-star podcaster and your listen will advance your agriculture.  Thank Matt!
Women's Council,
Atlanta Real Estate,I feel very comfortable working with clients with the tech tools that are available to us as Realtors. Clients are impressed when they see me operate with the tools.
Market Moment - Today in History,Hey Alexa! Great content from a group of skilled investment managers.
Mastermind - AI Assistant for Software Dev Teams,So many great features! Amazon should have included all of these themselves.
Store Card,Ease of paying monthly bill.
Wall Street Today,I use it everyday and helps me a lot
Mastermind - AI Assistant for Software Dev Teams,Fantastic
Thirty Second Money Tip with Nick True,always a great tip delivered in a consise friendly way!
Make Me Smart,
Rupee Transfer,Good
Mastermind - AI Assistant for Software Dev Teams,I enabled the skill and connected my Gmail account and received an email that said thanks for your interest will get hold of you later when you can use this app... it’s annoying why make it a skill if it cannot be used until later...  also now google is sending me emails saying I don’t have enough of their apps on my iPhone... meaning now I’m not quite sure who or what has acccess to my phone and my email... which is “awesome”.
Define Finance,
Mastermind - AI Assistant for Software Dev Teams,"I love that I can ask Alexa ""Ask Mastermind- What was that"" and she reads my last notification."
Run To Your Leadership Challenges!,Paul does a fantastic job distilling his message into something that can easily fit into my morning routine.
Mastermind - AI Assistant for Software Dev Teams,Awesomeness
Market Moment - Today in History,Great Alexa skill!
CryptoCurrency,
Crucial Talks Podcast,
Capital One,"The skill itself isn't bad--in fact I used it for a couple months without issue. My concern is that the pin code necessary to access account information, pay bills, etc is stored as plain text in Alexa's voice history list, and can be read by anyone who looks. 99% of people are not going to know how to go on Amazon through their PC and clear that history, or scroll through hundreds of entries and delete it from the Alexa app. This to me pretty much negates the security aspect of requiring a pin, and so I removed the skill."
Mastermind - AI Assistant for Software Dev Teams,Great this is the best app on Alexa
Thirty Second Money Tip with Nick True,"Nick's tips are practical and useful. It's the perfect length of time for a flash briefing at only a coupla minutes. I've used some of his tips already! Even if you don't use Nick's tips, he'll get you thinking about how and why you spend your money. Keep up the good work, Nick!"
Mastermind - AI Assistant for Software Dev Teams,Easy to use
Mastermind - AI Assistant for Software Dev Teams,This is great
Mastermind - AI Assistant for Software Dev Teams,"I love this app, the only I am having difficulty with is who's calling feature I also paid for an upgrade and can't seem to get it"
Crushing it with Garyvee,
Thirty Second Money Tip with Nick True,Never had an update after a month
Capital One,I like the app
The Motley Fool,"Does do modify on lists,read the list. These apps has to do more like provide book value , ebitda,forward pe,current pe to industry,money flow index value,beta,50 moving avg,20 day moving avg,200 day moving avg,52 weeks high/low and macd. Motley fool name is a brand, expected more but disappointed. Lot of apps now do tell the current prices of stocks. Even if a paid app can do that I will buy if it is a affordable price"
Town and Country FCU Banking,
Thoughts on the Market,
Cheddar,When I saw the video flash briefings on the Alexa Show I knew we had to do this. Thrilled to bring the top tech stories to audio and audio/video users of the platform.
Capital One,"Not good to have an app that can tell me my balance which is personal information, when it cannot properly verify who I am each ask. Alexa has no voice recognition to a specific individual."
Marketplace Morning Report,"As other reviewers have said, this went from an enjoyable daily fix to an endless string of repeats, one after the other. Instead of getting a 5 or 10 minute report it goes on and on and on. My wife got so tired of me saying “Alexa skip” that she demanded i remove this skill. Additionally, the woman that does the lead ins has the most irritating, grating voice i have ever heard on public radio."
Mastermind - AI Assistant for Software Dev Teams,"New user, but enjoying so far"
Oz Leasing,
Bullion Today,
Capital One,Convenient and innovative use of the Echo. No complaints so far.
Mastermind - AI Assistant for Software Dev Teams,I know it is in Beta but it still needs a lot of work. It is very frustrating to send or read a text message.
Mortgage Helper,This bot provides you accurate information in a user-friendly way. It asks relevant questions and redirects you to links of companies that are best suited to you.
Run To Your Leadership Challenges!,"I have known Paul for over six years now, both as colleague and friend. I know firsthand his ability to lead and teach others to lead. At our University he teaches topics to include: Organizational Behavior, Training and Development, Managerial Leadership, just to name a few. His podcasts and articles are some of the best out there for leadership and inspiration. Give him a listen, I don't think you will be disappointed."
Elevate Your Impact Podcast,"5/5 stars, really good sales training advice!"
The Real Estate One Stop Shop,I looked into this product even though I not currently in need of its services. Glad I did because now I know where to turn for any real estate need.
Mastermind - AI Assistant for Software Dev Teams,Nice
Thirty Second Money Tip with Nick True,Love hearing Nick's money tips!
Mastermind - AI Assistant for Software Dev Teams,Work some days then it stop Alexa tells me I DON'T KNOW THAT .
Front Row Entrepreneur,"This past year I started a new career in Real Estate.  After a 3 year break and putting my previous business on auto-pilot, I jumped back in the marketplace as a Realtor but my social media and online marketing skills to launch a new business was pretty rusty not to mention outdated since it's changing constantly.  Not only does Jen share practical information I can use but she has also helped me prioritize, create strategies from her daily tips!  She is real and authentic and just shares what she knows in a down to earth way that really resonates with me.  It's a daily life-saver!"
Daily Digital Marketing,"Nothing to listen to. I enable the skill, asked Alexa to play the Flash Briefing, and she said this skill had nothing to play. :("
NPR Business Story of the Day,Please keep it up to date..listening to the same story for over two weeks
Mastermind - AI Assistant for Software Dev Teams,Lots of room for improvement
Tim Clark Flash Briefing,Tim Clark is an expert on AI and Voice technology. Follow him for tips on how to promote your business using these technologies.
Thirty Second Money Tip with Nick True,I listen to it every morning in my Alexa flash briefing and is very motivational.  All the tips are very usefull.
Mastermind - AI Assistant for Software Dev Teams,Love
Maribel Yepez-Fernandez - Serving South Florida,"Maribel is excellent! As a first time buyer, I was very nervous. Not only she was able to provide an extraordinary and professional service. She counsel and helped through this important decision in my life!"
Business Leadership Series,"Derek interviews some of the most informative business leaders. If you’re looking for information on business, leadership, marketing, and sales, then you’ve found the right place to listen."
Mastermind - AI Assistant for Software Dev Teams,Perfect app ...why is no make phone calk
Litecoin Price,Add litecoin
Create My Voice,"My daughter's school has so many written blogs / updates that are available on their website - they are looking at this Create My Voice capability to allow parents, like me, to ask Alexa to play these blogs while I am up and about. I love this!"
Harvard Business Review: Management Tip,"I don't think this app it's being supported anymore, I have gotten the same ""tip"" every day since I enabled the skill last Sunday

UPDATE: Tried it again. Five days of the same ""What to do if a colleague goes over your head""  No thanks"
Mastermind - AI Assistant for Software Dev Teams,Not using quite yet but easily usuable
Credit Card Helper,This is one of the most sophisticated and knowledgeable bots I've used! Really is able to take into account all my unique personal financial needs and find the best credit cards.
Mastermind - AI Assistant for Software Dev Teams,Great app
Business Mindset,
The Pitch with Amy Summers,The Pitch was so helpful and interesting to listen to. Amy is super professional and relatable. The tips she gives will definitely help with my confidence!
Mastermind - AI Assistant for Software Dev Teams,You don’t need to be a Genius to master Mastermind.
Store Card,"Just set it up which was a breeze, then made a payment using the skill which was simple and easy! Love it!"
Mastermind - AI Assistant for Software Dev Teams,Nice
Mastermind - AI Assistant for Software Dev Teams,Works great
fifty two week low,
Risk Management,
Capital One,Nice skill for what its worth. I added it to try it. It’s also secure so that anyone just can’t ask Alexa for your balance information. 👌🏽
The MFCEO Kill Shots,"This skill is suppose to have daily audio updates or and least cycle through daily audio clips that have already been played. This skill has been ignored by the skill owner for eight weeks! Sadly too, for a long time before the current neglect of daily update, the daily updates had become too repetitive! Please update this skill with new content and don't repeat the same old content every few days!"
Good Authority with Jonathan Raymond of Refound,These quick and helpful insights are relevant and easy to understand.  A great way to start my day before heading to work.
Cincinnati Real Estate,This is the only skill you need if you want to buy or sell your home. It makes the process easy and fun!
Mike Hrezo - Valencia Real Estate,"Mike was a spectacular agent for us in both selling our house and purchasing a different home that was a short sale. It was a very challenging situation but Mike navigated the process easily and professionally. Mike was in frequent communication with us and continued to reach out to us after the sale was completed
Mike is knowledgeable, professional and pleasant to deal with and he will fight for you when necessary.
We have dealt with various agents over the years and Mike is a step above the others.
Antonella & Thomas"
Jesse Wolgamott Facts,The app I didn't know I needed in my life. Are you kidding me? 24/7 access to fun facts about America's favorite male model. Easiest five stars I've ever given.
Economic Times Unofficial,
The Pitch with Amy Summers,The Pitch is concise and informative yet personal. Amy Summers shows her expertise with confidence. The Pitch is real and offers the tips every PR Pro should know before entering the workforce.
BizTalk Business Leaders,
Waste Management,"I should give up on this.  Set it up.  Link account.  Ask Alexa when my next pickup is.  Wait for the next holiday.  Ask Alexa when my next pickup is.  She tells me I need to link my account.  Repeat each holiday (query, link, query).  Sometimes Alexa just tells me to try again later.  Easier just to check their website."
TD Ameritrade,"Prices and balances are nice.  As far as account information goes, I'd like to hear how much money I made (or lost) today.  I'd like to find out about today's dollar gain/loss for the portfolio and/or individual assets.  I'd also like to find out gain/loss over a specified period of time.  I haven't tried trading through the app yet."
Web Analytics,Google shows error and says the page has to be linked through an actual web browser. Cannot Link to your account
Cliff Notes for Popular Business Books,"0:000:00This video is not intended for all audiences. What date were you born?SubmitAdobe Flash Player is required to watch this video.Install Flash Player Great skill that give you a quick over view of popular business books. Great for listening to a book summary for getting ideas, talking points about a subject, and of course deciding if you want to purchase the book. Love the fact that the skill provides options for the categories of books."
Mastermind - AI Assistant for Software Dev Teams,"It works great, just it doesn't read Whatsapp"
Biz Life Mashup,I’m an entrepeneur and I often get overwhelmed with new tools to grow my business. Biz Life Mashuo has made me feel supported in knowing anything new hard to do but im not alone and eventualky it’ll ger easier.
Thirty Second Money Tip with Nick True,I am a big spender and every morning coffee goes with this skill. Its not the money you have or earn is how you manage it.
SentinelOne,"The concept makes sense, the implementation has potential. Looks the the SentinelOne server provides a lot of summary data via their APIs to allow for the integration. Note that you need to have a SentinelOne server login before this will be interesting and useful."
TD Ameritrade,This is great but I want to check on my portfolio specifically through my echo too.
No Experience Necessary,Scrappy Entrepreneur host Colleen shares an energetic collection of short tips and hints specifically for female treps and business owners. Actionable and not overwhelming this briefing is a great way to start the day.
Mastermind - AI Assistant for Software Dev Teams,I generally use it to find my phone (kids hide it everywhere) and occasionally to check messages or email. Has worked well
Capital One,I dont even have to go into the app from phone to make payments or check balance. Awesome.
RealChoice Benefit Program,
Crypto Agent,Easy and fast way to get current cryptocurrency prices.
Voice Rewards Me,Love it
Capital One,"What Piece of Crap. Keep getting an error message about an issue with my account. Capitalone confirms there are no issues on their end.

Alexa is proving to be a waste of $$$

Amazon sucks!!!"
Mastermind - AI Assistant for Software Dev Teams,No comment
Mastermind - AI Assistant for Software Dev Teams,Extremely useful skill for Alexa and Android devices. When my phone is not nearby and I get a notification it's very convenient to ask Alexa what that was about. Keep up the great work.
Kelly DeLucia - Neptune Beach Real Estate,"Kelly helped us to find our home as we moved to Jacksonville from out of state - we purchased our home “sight unseen” and couldn’t be happier. Not only was she impeccable with providing us updates on available homes, but she communicated regularly with us giving her expertise and suggestions on the areas, home costs, etc. As we began looking at homes, we relied on FaceTime and felt confident trusting her judgement to help us find our home! Would highly recommend for any military families or people moving from out of town and don’t have the luxury to be onsite for walkthroughs. From initial discussion to purchase, we loved the experience."
Unleashed Technologies News,
30-Second Blog and Business Tip w/ Pete McPherson,"Pete is a leader in the blogging as a business space. I see so many bloggers start and think it's just about putting words on a page. You've got to treat it like a business, learn how to be successful and implement those ideas. I can think of only a handful of bloggers I would recommend to help you learn how to start a blogging business and Pete's definitely on the list. Great way to make sure you're getting started and running your blog right!"
Krieger,Great skill providing answers to questions and performing calculations easily.
Pete's Points - Business and Leadership Strategies,"Pete is the leadership guru! Anything he touches turns to gold, so I liked it all."
Mastermind - AI Assistant for Software Dev Teams,Great
The Executive Leap with Mike Sudermann,"Mike has a tremendous amount of knowledge and wisdom when it comes to helping people in their careers. When you're thinking about make a job, career switch, or working on that next promotion Mike's information is what you'll need to know. Gain the confidence you need to impress, and blow away the competition. Let Mike show you how it's done as he has for so many other high level executives!"
Coinbase Bitcoin/Ethereum Price,Great App!  Please add Ethereum
The Motley Fool,Personalities and business insight live here.
TradeIt,"Alexa can't seem to understand the request for the stock quote ""T,"" which is the symbol for AT&T.  She is very uninformed on questions about business, unfortunately.  Hoping for some improvement in the future."
CryptoCap,"Wanted XRP, first of five skills i tried and works great!"
Store Card,"My only concern is:  I can't find anywhere where I can view my statement. If I return something I have to take Amazon's word that it was credited to my account.  ""Statement""  would be a great addition to ""my Account""."
Home Service Manager,
Capital One,Really great way to check up on my account and works flawlessly! Absolutely love it!!
Nate's Portfolio,
TD Ameritrade,You should be able to say TD instead of the whole bloody name.
Project Market,Extremely accurate results! Nothing else like it on Alexa surprisingly enough.
Fast Marketing Minute,"Robin's concise podcasts just right for quick, practical tips on the go... Put the Fast Marketing Minute on your must-listen list!"
Front Row Entrepreneur,I enjoy listening every morning on my phone. Just wish it wouldn’t cut off at the end.
Mastermind - AI Assistant for Software Dev Teams,I was able to get it to execute most of the commands.My biggest problem was remembering everything it could do but that's on me. I hope they continue to develop new tasks.
MyFortress,I cannot link my account to install it because their certificate expired in september
Mastermind - AI Assistant for Software Dev Teams,".
Great app"
Crypto Agent,Like the on screen display of my currencies
The Hustle,when they fix it it’ll be great
Experian,Doesnt work..figures
Cheddar,sell out's. disgusting
Computer Support,
Atlanta Real Estate,I work for the best company on the planet!!  This skill is going to revolutionize the way technology savvy customers search for property around the world.  Amazon and BHHS have changed the game.  The world is changing and we are paving the path.  Every person I have shared this technology with can not believe how easy it is!  WE BHHS GA Properties are leading the way Realtors conduct business and capture leads.  What a lucky Guy I am!!  Thank You for changing the WORLD of Real Estate!!
Winchester Massachusetts Real Estate,BHG Shanahan the most creative real estate company in Massachusetts. If you want your home sold look no further!!!
First Hawaiian Bank,
Mastermind - AI Assistant for Software Dev Teams,Good
Run To Your Leadership Challenges!,Gotta like it
Allstate,"It says it linked but When I ask for amount due it says ""I cannot retrieve your bill information """
Mastermind - AI Assistant for Software Dev Teams,Best app ever but...there's a problem with the app receiveing.  Calls it doesn't list them it I asked who's calling  and it telling me that no one is calling  me and my phone is right next to me
Mastermind - AI Assistant for Software Dev Teams,Amazing
CEO Tip of the Day,This is a great way to start my day with a reminder of the important things CEO's and business owners need to hear to lead with excellence. Common sense wisdom that CEO's need each day.
Fidelity Investments,"Wish I could just say ""Alexa how did the ____ Stock do today?"" and have it give me an answer. Why must I say ""ask Fidelity""?  This is a not intuitive and I don't like the blatantly commercialized aspect of it. it's supposed to be a utility to easily access information. Not an infomercial."
Mastermind - AI Assistant for Software Dev Teams,Very helpful app to add more functionality to alexa.
Daily Bitcoin Podcast,"Interesting voices, basically just slowly telling you the prices over the last day without analysis. Great if you want to hear people chat lazily about the prices of bitcoin, ethereum, and litecoin. Bad if you're looking for something quick and analytical."
Brenda Sheets - Fort Myers Real Estate,"Brenda, Elizabeth and I can't thank you enough for all the hard work, dedication and the time you spent in finding a home for us, so quickly. You made it very easy for Elizabeth and me to buy our villa, you went above and beyond all our expectations, and we very much appreciate it. We most definitely will suggest you to anyone we know who is selling or wanting to purchase a home, you are an expert in your field, and we were lucky to have you as our Realtor.
E & J, Cranston, RI"
Motley Fool Stock Watch,I love this skill! I have tried all the others but this one is the easiest to use . Straight forward and to the point. Highly recommend!
Hubspot Helper,Super helpful to simply be able to ask HubSpot questions and not even have go through the normal UI
Store Card,I just set this up tonight to make payment. I believe this will be a convenience for my busy sch
Coin Market Briefing,Best way to get the latest crypto updates!
Crypto Coins - Cryptocurrency Values,
Capital One,"finding out your balance, payment due date and making payments by just asking alexa. I wish all the banks have this feature."
Mastermind - AI Assistant for Software Dev Teams,I like all
Thirty Second Money Tip with Nick True,These are wonderful and simple tips that are both clearly articulated and easily applied to my daily routine. Especially for someone like me that views most financial strategies and goals as overbearing and unreachable. These quick tips are an excellent daily reminder for me that it’s a marathon not a sprint!
Mastermind - AI Assistant for Software Dev Teams,Likeit
Thirty Second Money Tip with Nick True,i listen daily to your money tips. thank you. Keep up the good work !
Mastermind - AI Assistant for Software Dev Teams,Great app
Mastermind - AI Assistant for Software Dev Teams,I love this app.  I have a newborn daughter and the hands free texting in conjunction with my Amazon Alexa is a lifesaver when I'm taking care of her.  I would really love to see the hands free calling feature actually be routed through Alex's instead of just being able to answer the phone with your voice.
Orion Flash Briefing,
Market Sentiment Survey,Why did you copy my skill man :/
Albany Real Estate,Amazing new way to house hunt!
Mastermind - AI Assistant for Software Dev Teams,Thank you
A.D. Solutions Copier Support,
Help Me Buy My New Home,
Picards Management Tips,"This app is pretty much useless. It would be so much better to take audio clips of inspirational quotes and play those. There is a HUGE selection to choose from (with #1, Westley, Data, ""Q"", ect)"
Stock Analysis by Zacks Investment Research Inc,the app recognizes company names. Need not remember the ticker unlike other skill.
Think Like a Millionaire - Finance Flash Briefing,"Great advice! If there is less repeated information in one advice, it will be even better."
Jobs Search,
Thought Leaders,I'm blown away at Doug's deep level of knowledge in this smoke'n hot NEW industry! I'm excited to tap into his wisdom and apply it to my coaching and speaking business.
Mastermind - AI Assistant for Software Dev Teams,Will be really cool.
Mastermind - AI Assistant for Software Dev Teams,I like the app
Pete's Points - Business and Leadership Strategies,look forward to this every morning
IBKR IBot,Quick way to access world markets on any Alexa devices - very convenient.
Mastermind - AI Assistant for Software Dev Teams,Sounds great can't wait
The Pitch with Amy Summers,The Pitch with Amy Summers is a great tool for students preparing for the professional world! These tips are applicable to anyone because of the relevance of communication in a world that is becoming dominated by technology!
Stephen G Williams - Pearland Real Estate,
Mastermind - AI Assistant for Software Dev Teams,To confusing and can't download alexa app on my track phone
Mastermind - AI Assistant for Software Dev Teams,Another highly useful Amazon skill
Capital One,How useful!!! I've been waiting for skills like this to show up. Made my day. Thanks Capital One :)
Capital One,I've been using this skill with Cortana on my Harmon Kardon Invoke. Works really well. Tells me the balance of every account I have.
Mastermind - AI Assistant for Software Dev Teams,Good
Today in Voice Tech,
Florida Realtors,I love being able to listen to the FR News update while I'm getting ready in the morning.  Thanks!
Mastermind - AI Assistant for Software Dev Teams,"A skill that won't work without me paying,  what a joke!!"
Mortgage Helper,I was surprised by how many questions this bot can answer. Mortgage is a messy process but this bot made it smoother. I feel more prepared after chatting with it for a while. Also the calculators are quite helpful.
Comcast Business,Device works great for a conference call. Looking forward to future features.
Capital One,Works as described wonderful
Preseries,"Nice start. I wish that the skill would let me evaluate a startup by asking questions such as ""how many founders does it have?"" or ""what industry is it in?""."
Fan Muse Jobs,provides very litte valuable information
Stephen G Williams - Pearland Real Estate,"Mr Williams was extremely attentive and helpful during the whole process, always returning our calls in a prompt manner, made a tedious process a lot easier, will seek his assistance again"
Charles Schwab,"Poor.  Opened Schwab for the first time and asked for a quote.
Response: ""I am having trouble accessing your Schwab skill right now.""
---
2nd thoughts:  Could be an Alexa problem.  I will try again and update later."
MAGA,nope
Mastermind - AI Assistant for Software Dev Teams,"I like how I can do so much by voice. I like getting notifications that way and the new options being added. I still have to learn more about what it can do, but I have a list of suggestions printed out. I am just having trouble getting it to understand what I'm saying and not typing the wrong things. It would be awesome if it could check my voicemail too!"
Daily MLM Tip,"Awesome strategies and tips to build any MLM, network marketing, or direct sales business."
Mastermind - AI Assistant for Software Dev Teams,"From what I have tried so far, it has really enhanced the Alex's skill set. I would not be surprised if Amazon started to duplicate mastermind's skills in native Alexa."
Insurance Helper,
First Hawaiian Bank,I like everything except really need to do funds transferring by voice
Mastermind - AI Assistant for Software Dev Teams,"Brill when working, frustrating when it suddenly stops!"
Harvard Business Review: Management Tip,"I work in Talent Development.  I enjoy listening to these, and will often go read the entire article that was summarized, and then share it with employees in an effort to help them develop in their careers."
Run To Your Leadership Challenges!,"I listened to his talk today regarding proper training methods of new tasks.  It was spot on.  I wish that most people in leadership roles took a moment of their day to listen in and gain some insight into how training should be done thoroughly and thoughtfully!
Kate Cunningham - NJ"
Front Row Entrepreneur,
Columbus Real Estate,Such an easy tool for buying and selling real estate.
AGL,
Akron Real Estate,Love it!! Bring buying a home into the the 21st Century!
Mastermind - AI Assistant for Software Dev Teams,"Very fun app!
Got my sister in California  an echo and we can chat while cooking or hanging out! And the ring my phone skill is very useful!! Thank you for including me on the beta version!!!"
Goldsboro Real Estate,Great way to find your home value and what is available in Goldsboro
Capital One,I have used Capital On for a long time. The tellers are helpful and very polite. Eager and willing to accomplish my needs.
Leticia Sotomayor - Chino Real Estate,"Leticia, and her team helped us sell our house and find a new one.  They were engaged from the beginning. They attracted  several potential buyers getting us top dollar. They actively helped with the negotiations for both the sale and purchase.  Great team effort.  Would highly recommend them to all my friends."
Car Insurance Finder,You can actually get an estimate on how much you should pay for car insurance with this thing.
Mortgage Helper,I work I  the financial space and find this to be helpful.  Helps answer all the basic mortgage questions which is ptetty neat.
Wings Financial,"Wow! I can find branch hours, the routing number and more!!"
Nicole Axtell - Your Sacramento Real Estate Agent,Nicole is a local Sacramento real estate agent I would trust her to sell my home.
The Mastermind Play Book: Building A Richer Life,"I like the author’s vision and his other content.  Getting a quick dose everyday was why I added it.  However, the same flash briefing has been repeating since I added it to my FB about a 1.5 weeks ago.  Please update with your wonderful content so I can update this review.  I’ll check back in a week to see if the content has been updated."
Mastermind - AI Assistant for Software Dev Teams,"Mastermind is a skill that Alexa definitely should have. Mastermind works great!! For me, Mastermind made my echo dot purchase worth while."
Litecoin Price,Add litecoin
CNBC Tech Check,it is one of the better alexa skills
The Pitch with Amy Summers,"I don't know how Amy does it. Every day, The Pitch provides relevant, relatable information for navigating both business and life. Amy drops bombs of wisdom from her years in Public Relations with strategic, tactical ways to implement them. Whether it's a new way to view an issue or how to handle a business situation, Amy has you covered. I don't miss an episode - neither should you!"
Capital One,I can't get alexa to do this for  my tablet!!! Have tried 4-5 times for at least a week!!  Says try later or can find
Econoday Global Market Update,"It would be useful, if it provided current information.  It has been giving Thursday's information, since last Thursday (today is Wednesday).  I wonder if it only updates on Thursdays (once per week).  If so, this is near useless to me, for daily trading."
Equities,I asked about AIG (American International Group) and she says she doesn't know about them. Hmmm.
Cryptocurrency Prices,Uses coinmarketcap.com perfect
Sayspring,Makes it as easy as possible to design Alexa skills.
Mastermind - AI Assistant for Software Dev Teams,Making phone calls
Thirty Second Money Tip with Nick True,USEFUL AND HELPFUL WAYS ON HOW YOU CAN APPLY THESE SKILLS TIPS TO IMPROVE YOUR FINANCIAL GOALS.
AppViewX Certificate Automation,
Mastermind - AI Assistant for Software Dev Teams,Great app
Mastermind - AI Assistant for Software Dev Teams,Love the fact i can use it to make phone calls and send massages
Mastermind - AI Assistant for Software Dev Teams,Really good
Mastermind - AI Assistant for Software Dev Teams,Love it!
Leticia Sotomayor - Chino Real Estate,"Leticia and Alberto Sotomayor have been instrumental in my real estate dealings.  From selling my condo with a rent back, to facilitating the purchase of my next home, to listing said home, they bring a professionalism and confidence to their client that is unparalleled.  They listen to what you want, provide valuable feedback, set the expectations, and exceeds them!  I will also add, they keep in contact after deals are done.  We weren't friends before any transaction but we are now.  I was happy to have used their team in the past and would certainly do so in the future!"
Ohio Real Estate,Simple to use. Even for those that are not smart phone savvy. Use to find a value of your home or find a new home.
Capital One,"Add more banks, i.e. Huntington, BBT,  Chase, etc."
Sophi,Super useful! As an Ecuadorian often overseas it's amazing to be able to access my bank remotely through my voice assistant at home.
Front Row Entrepreneur,Part of my morning routine. Nice to get little nuggets of info in the marketing  world.
Mastermind - AI Assistant for Software Dev Teams,Love it!
The Myrtle Beach Real Estate Minute,
